admin3Name_en,admin3Pcode,admin2Name_en,admin2Pcode,admin1Name_en,admin1Pcode,admin0Name_en,admin0Pcode,Shape_Length,Shape_Area
Huai Muang,TH402005,Phu Pha Man,TH4020,Khon Kaen,TH40,Thailand,TH,0.473723,0.007479
Huai Muang,TH730211,Kamphaeng Saen,TH7302,Nakhon Pathom,TH73,Thailand,TH,0.270797,0.002881
Huai Mun,TH530406,Nam Pat,TH5304,Uttaradit,TH53,Thailand,TH,0.978262,0.024333
Huai Nam Hom,TH601102,Lat Yao,TH6011,Nakhon Sawan,TH60,Thailand,TH,0.711813,0.007373
Huai Nam Khao,TH810405,Khlong Thom,TH8104,Krabi,TH81,Thailand,TH,0.562717,0.010183
Huai Nang,TH920617,Huai Yot,TH9206,Trang,TH92,Thailand,TH,0.358181,0.004049
Huai Ngu,TH180607,Hankha,TH1806,Chai Nat,TH18,Thailand,TH,0.421944,0.002808
Huai Nuea,TH330509,Khukhan,TH3305,Si Sa Ket,TH33,Thailand,TH,0.238332,0.002244
Huai O,TH540301,Long,TH5403,Phrae,TH54,Thailand,TH,0.757544,0.009672
Huai Pa Wai,TH190907,Phra Phutthabat,TH1909,Saraburi,TH19,Thailand,TH,0.250811,0.002237
Huai Pha,TH580106,Mueang Mae Hong Son,TH5801,Mae Hong Son,TH58,Thailand,TH,0.944415,0.030805
Huai Phai,TH150506,Sawaeng Ha,TH1505,Ang Thong,TH15,Thailand,TH,0.187998,0.000941
Huai Phai,TH340305,Khong Chiam,TH3403,Ubon Ratchathani,TH34,Thailand,TH,0.516399,0.006719
Huai Phai,TH700105,Mueang Ratchaburi,TH7001,Ratchaburi,TH70,Thailand,TH,0.329904,0.003996
Huai Phichai,TH420405,Pak Chom,TH4204,Loei,TH42,Thailand,TH,0.5745,0.014823
Huai Phlu,TH730318,Nakhon Chai Si,TH7303,Nakhon Pathom,TH73,Thailand,TH,0.175267,0.000936
Huai Pho,TH460109,Mueang Kalasin,TH4601,Kalasin,TH46,Thailand,TH,0.429431,0.004965
Huai Phra,TH730402,Don Tum,TH7304,Nakhon Pathom,TH73,Thailand,TH,0.231883,0.002231
Huai Phuk,TH661104,Dong Charoen,TH6611,Phichit,TH66,Thailand,TH,0.370633,0.003298
Huai Pong,TH160305,Khok Samrong,TH1603,Lop Buri,TH16,Thailand,TH,0.380265,0.005923
Huai Pong,TH210113,Mueang Rayong,TH2101,Rayong,TH21,Thailand,TH,0.374472,0.005483
Huai Pong,TH580102,Mueang Mae Hong Son,TH5801,Mae Hong Son,TH58,Thailand,TH,1.255088,0.038269
Huai Pong,TH670707,Nong Phai,TH6707,Phetchabun,TH67,Thailand,TH,0.368555,0.004557
Huai Prik,TH800409,Chawang,TH8004,Nakhon Si Thammarat,TH80,Thailand,TH,0.422238,0.005348
Huai Pu Ling,TH580109,Mueang Mae Hong Son,TH5801,Mae Hong Son,TH58,Thailand,TH,1.288807,0.050873
Huai Racha,TH311608,Huai Rat,TH3116,Buri Ram,TH31,Thailand,TH,0.159852,0.001203
Huai Raeng,TH230108,Mueang Trat,TH2301,Trat,TH23,Thailand,TH,0.745663,0.012807
Huai Rai,TH360305,Khon Sawan,TH3603,Chaiyaphum,TH36,Thailand,TH,0.582648,0.007789
Huai Rai,TH370114,Mueang Amnat Charoen,TH3701,Amnat Charoen,TH37,Thailand,TH,0.352796,0.003171
Huai Rai,TH540504,Den Chai,TH5405,Phrae,TH54,Thailand,TH,0.677153,0.015184
Huai Rai,TH670311,Lom Sak,TH6703,Phetchabun,TH67,Thailand,TH,0.720027,0.005372
Huai Rat,TH311601,Huai Rat,TH3116,Buri Ram,TH31,Thailand,TH,0.165511,0.001309
Huai Rong,TH540213,Rong Kwang,TH5402,Phrae,TH54,Thailand,TH,0.653006,0.013056
Huai Rong,TH760208,Khao Yoi,TH7602,Phetchaburi,TH76,Thailand,TH,0.130777,0.000931
Huai Rop,TH610504,Nong Khayang,TH6105,Uthai Thani,TH61,Thailand,TH,0.103619,0.000365
Huai Ruam,TH600404,Nong Bua,TH6004,Nakhon Sawan,TH60,Thailand,TH,0.413507,0.005336
Huai Ruam,TH661103,Dong Charoen,TH6611,Phichit,TH66,Thailand,TH,0.431562,0.005145
Huai Sai,TH190310,Nong Khae,TH1903,Saraburi,TH19,Thailand,TH,0.230616,0.001623
Huai Sai,TH500706,Mae Rim,TH5007,Chiang Mai,TH50,Thailand,TH,0.25524,0.002761
Huai Sai,TH501311,San Kamphaeng,TH5013,Chiang Mai,TH50,Thailand,TH,0.282502,0.003311
Huai Sai,TH770104,Mueang Prachuap Khiri Khan,TH7701,Prachuap Khiri Khan,TH77,Thailand,TH,0.5401,0.009516
Huai Sai Nuea,TH760406,Cha-Am,TH7604,Phetchaburi,TH76,Thailand,TH,0.354865,0.004811
Huai Sak,TH570113,Mueang Chiang Rai,TH5701,Chiang Rai,TH57,Thailand,TH,0.605225,0.015903
Huai Sakae,TH670115,Mueang Phetchabun,TH6701,Phetchabun,TH67,Thailand,TH,0.695756,0.008603
Huai Sam Phat,TH412502,Prachaksinlapakhom,TH4125,Udon Thani,TH41,Thailand,TH,0.331487,0.003235
Huai Samran,TH310309,Krasang,TH3103,Buri Ram,TH31,Thailand,TH,0.379678,0.004934
Huai Samran,TH330522,Khukhan,TH3305,Si Sa Ket,TH33,Thailand,TH,0.303153,0.003632
Huai Sat Yai,TH770706,Hua Hin,TH7707,Prachuap Khiri Khan,TH77,Thailand,TH,1.06908,0.02642
Huai Si Siat,TH421104,Phu Luang,TH4211,Loei,TH42,Thailand,TH,0.494683,0.006557
Huai So,TH570305,Chiang Khong,TH5703,Chiang Rai,TH57,Thailand,TH,0.778278,0.017621
Huai Som,TH421010,Phu Kradueng,TH4210,Loei,TH42,Thailand,TH,0.420548,0.005032
Huai Ta Mon,TH331702,Phu Sing,TH3317,Si Sa Ket,TH33,Thailand,TH,0.332537,0.004296
Huai Tai,TH330510,Khukhan,TH3305,Si Sa Ket,TH33,Thailand,TH,0.243384,0.003054
Huai Tha Chang,TH760209,Khao Yoi,TH7602,Phetchaburi,TH76,Thailand,TH,0.181592,0.001676
Huai Thalaeng,TH301601,Huai Thalaeng,TH3016,Nakhon Ratchasima,TH30,Thailand,TH,0.351861,0.005385
Huai Thap Mon,TH210702,Khao Chamao,TH2107,Rayong,TH21,Thailand,TH,0.859163,0.016042
Huai Thap Than,TH331201,Huai Thap Than,TH3312,Si Sa Ket,TH33,Thailand,TH,0.22894,0.0024
Huai Thua Nuea,TH600406,Nong Bua,TH6004,Nakhon Sawan,TH60,Thailand,TH,0.281504,0.002183
Huai Thua Tai,TH600405,Nong Bua,TH6004,Nakhon Sawan,TH60,Thailand,TH,0.277795,0.001882
Huai Toei,TH402105,Sam Sung,TH4021,Khon Kaen,TH40,Thailand,TH,0.278071,0.003341
Huai Toei,TH441205,Kut Rang,TH4412,Maha Sarakham,TH44,Thailand,TH,0.291891,0.003522
Huai Ton,TH360114,Mueang Chaiyaphum,TH3601,Chaiyaphum,TH36,Thailand,TH,0.823572,0.016893
Huai Tuek Chu,TH331703,Phu Sing,TH3317,Si Sa Ket,TH33,Thailand,TH,0.417637,0.005708
Huai Yae,TH360803,Nong Bua Rawe,TH3608,Chaiyaphum,TH36,Thailand,TH,0.90783,0.016722
Huai Yai,TH160804,Sa Bot,TH1608,Lop Buri,TH16,Thailand,TH,0.320215,0.00171
Huai Yai,TH200406,Bang Lamung,TH2004,Chon Buri,TH20,Thailand,TH,0.552565,0.013639
Huai Yai,TH600407,Nong Bua,TH6004,Nakhon Sawan,TH60,Thailand,TH,0.20781,0.001892
Huai Yai,TH670116,Mueang Phetchabun,TH6701,Phetchabun,TH67,Thailand,TH,1.070407,0.031971
Huai Yai Chio,TH360902,Thep Sathit,TH3609,Chaiyaphum,TH36,Thailand,TH,0.961217,0.011152
Huai Yang,TH620610,Phran Kratai,TH6206,Kamphaeng Phet,TH62,Thailand,TH,0.649655,0.00512
Huai Yang,TH210317,Klaeng,TH2103,Rayong,TH21,Thailand,TH,0.406839,0.002894
Huai Yang,TH301203,Bua Yai,TH3012,Nakhon Ratchasima,TH30,Thailand,TH,0.51304,0.004598
Huai Yang,TH340302,Khong Chiam,TH3403,Ubon Ratchathani,TH34,Thailand,TH,0.581903,0.014114
Huai Yang,TH361304,Khon San,TH3613,Chaiyaphum,TH36,Thailand,TH,0.452402,0.008392
Huai Yang,TH400906,Kranuan,TH4009,Khon Kaen,TH40,Thailand,TH,0.439096,0.004598
Huai Yang,TH470112,Mueang Sakon Nakhon,TH4701,Sakon Nakhon,TH47,Thailand,TH,0.531611,0.01064
Huai Yang,TH770305,Thap Sakae,TH7703,Prachuap Khiri Khan,TH77,Thailand,TH,0.481931,0.008862
Huai Yang Kham,TH560206,Chun,TH5602,Phayao,TH56,Thailand,TH,0.337003,0.00431
Huai Yang Thon,TH700812,Pak Tho,TH7008,Ratchaburi,TH70,Thailand,TH,0.440072,0.005151
Huai Yap,TH510702,Ban Thi,TH5107,Lamphun,TH51,Thailand,TH,0.341382,0.004391
Huai Yot,TH920601,Huai Yot,TH9206,Trang,TH92,Thailand,TH,0.272313,0.002171
Huai Yung,TH810808,Nuea Khlong,TH8108,Krabi,TH81,Thailand,TH,0.759241,0.009512
Huang Nam Khao,TH230105,Mueang Trat,TH2301,Trat,TH23,Thailand,TH,0.315583,0.003364
I Lam,TH331002,Uthumphon Phisai,TH3310,Si Sa Ket,TH33,Thailand,TH,0.240071,0.001535
I Ngong,TH450409,Chaturaphak Phiman,TH4504,Roi Et,TH45,Thailand,TH,0.234034,0.003422
I Pan,TH841601,Phrasaeng,TH8416,Surat Thani,TH84,Thailand,TH,0.743339,0.0072
I Pat,TH330310,Kanthararom,TH3303,Si Sa Ket,TH33,Thailand,TH,0.277237,0.004402
I Pum,TH420506,Dan Sai,TH4205,Loei,TH42,Thailand,TH,0.729313,0.01307
I San,TH310102,Mueang Buri Ram,TH3101,Buri Ram,TH31,Thailand,TH,0.426462,0.003617
I Se,TH332105,Pho Si Suwan,TH3321,Si Sa Ket,TH33,Thailand,TH,0.224898,0.001685
I Tue,TH460706,Yang Talat,TH4607,Kalasin,TH46,Thailand,TH,0.343248,0.004722
In Buri,TH170601,In Buri,TH1706,Sing Buri,TH17,Thailand,TH,0.186586,0.001272
In Khiri,TH800203,Phrom Khiri,TH8002,Nakhon Si Thammarat,TH80,Thailand,TH,0.305354,0.001379
In Plaeng,TH470810,Wanon Niwat,TH4708,Sakon Nakhon,TH47,Thailand,TH,0.403468,0.00305
Inthakhin,TH500613,Mae Taeng,TH5006,Chiang Mai,TH50,Thailand,TH,0.634399,0.010325
Inthapramun,TH150402,Pho Thong,TH1504,Ang Thong,TH15,Thailand,TH,0.168881,0.00094
Isan Khet,TH312303,Chaloem Phra Kiat,TH3123,Buri Ram,TH31,Thailand,TH,0.353602,0.004538
Ka Ko,TH320126,Mueang Surin,TH3201,Surin,TH32,Thailand,TH,0.308623,0.003521
Kabang,TH950701,Kabang,TH9507,Yala,TH95,Thailand,TH,0.474068,0.008423
Kabin,TH250201,Kabin Buri,TH2502,Prachin Buri,TH25,Thailand,TH,0.519359,0.005874
Kabin,TH341204,Kut Khaopun,TH3412,Ubon Ratchathani,TH34,Thailand,TH,0.294435,0.002803
Kabok Tia,TH180802,Noen Kham,TH1808,Chai Nat,TH18,Thailand,TH,0.562021,0.007546
Kachet,TH210110,Mueang Rayong,TH2101,Rayong,TH21,Thailand,TH,0.639877,0.00741
Kadae,TH840203,Kanchanadit,TH8402,Surat Thani,TH84,Thailand,TH,0.31383,0.001703
Kadunong,TH940707,Sai Buri,TH9407,Pattani,TH94,Thailand,TH,0.155923,0.001042
Kae,TH320703,Rattanaburi,TH3207,Surin,TH32,Thailand,TH,0.298488,0.003034
Kae Dam,TH440201,Kae Dam,TH4402,Maha Sarakham,TH44,Thailand,TH,0.30952,0.003503
Kae Yai,TH320110,Mueang Surin,TH3201,Surin,TH32,Thailand,TH,0.278674,0.003418
Kaem On,TH700205,Chom Bueng,TH7002,Ratchaburi,TH70,Thailand,TH,0.701962,0.0136
Kaen Makrut,TH610607,Ban Rai,TH6106,Uthai Thani,TH61,Thailand,TH,2.82415,0.155732
Kaeng,TH340712,Det Udom,TH3407,Ubon Ratchathani,TH34,Thailand,TH,0.419001,0.00387
Kaeng Dinso,TH250305,Na Di,TH2503,Prachin Buri,TH25,Thailand,TH,0.971451,0.024814
Kaeng Dom,TH343201,Sawang Wirawong,TH3432,Ubon Ratchathani,TH34,Thailand,TH,0.521255,0.006708
Kaeng Hang Maeo,TH220801,Kaeng Hang Maeo,TH2208,Chanthaburi,TH22,Thailand,TH,0.725836,0.010795
Kaeng Kae,TH440306,Kosum Phisai,TH4403,Maha Sarakham,TH44,Thailand,TH,0.286784,0.002564
Kaeng Kai,TH430801,Sangkhom,TH4308,Nong Khai,TH43,Thailand,TH,0.391876,0.004146
Kaeng Kheng,TH341203,Kut Khaopun,TH3412,Ubon Ratchathani,TH34,Thailand,TH,0.460008,0.005426
Kaeng Khoi,TH190201,Kaeng Khoi,TH1902,Saraburi,TH19,Thailand,TH,0.066913,0.000227
Kaeng Kok,TH340202,Si Mueang Mai,TH3402,Ubon Ratchathani,TH34,Thailand,TH,0.299196,0.003615
Kaeng Krachan,TH760801,Kaeng Krachan,TH7608,Phetchaburi,TH76,Thailand,TH,1.21995,0.031722
Kaeng Loeng Chan,TH440108,Mueang Maha Sarakham,TH4401,Maha Sarakham,TH44,Thailand,TH,0.340268,0.002928
Kaeng Nuea,TH340510,Khemarat,TH3405,Ubon Ratchathani,TH34,Thailand,TH,0.374305,0.004351
Kaeng Phak Kut,TH160702,Tha Luang,TH1607,Lop Buri,TH16,Thailand,TH,0.394831,0.004675
Kaeng Sanam Nang,TH302301,Kaeng Sanam Nang,TH3023,Nakhon Ratchasima,TH30,Thailand,TH,0.442288,0.004704
Kaeng Si Phum,TH421106,Phu Luang,TH4211,Loei,TH42,Thailand,TH,0.481261,0.009269
Kaeng Sian,TH710105,Mueang Kanchanaburi,TH7101,Kanchanaburi,TH71,Thailand,TH,0.574565,0.00819
Kaeng Sopha,TH650806,Wang Thong,TH6508,Phitsanulok,TH65,Thailand,TH,0.800368,0.011124
Kaeo Fa,TH141302,Bang Sai,TH1413,Phra Nakhon Si Ayutthaya,TH14,Thailand,TH,0.165708,0.001169
Kaeo Saen,TH801003,Na Bon,TH8010,Nakhon Si Thammarat,TH80,Thailand,TH,0.488288,0.005084
Kahat,TH361503,Noen Sa-Nga,TH3615,Chaiyaphum,TH36,Thailand,TH,0.468916,0.005126
Kai Kham,TH370102,Mueang Amnat Charoen,TH3701,Amnat Charoen,TH37,Thailand,TH,0.416915,0.003895
Kai Sao,TH190506,Nong Saeng,TH1905,Saraburi,TH19,Thailand,TH,0.153521,0.001093
Kalai,TH820403,Takua Thung,TH8204,Phangnga,TH82,Thailand,TH,0.754525,0.008048
Kalantha,TH310126,Mueang Buri Ram,TH3101,Buri Ram,TH31,Thailand,TH,0.302993,0.003463
Kalase,TH920503,Sikao,TH9205,Trang,TH92,Thailand,TH,0.602898,0.008242
Kalasin,TH460101,Mueang Kalasin,TH4601,Kalasin,TH46,Thailand,TH,0.188943,0.001659
Kalisa,TH960507,Ra-Ngae,TH9605,Narathiwat,TH96,Thailand,TH,0.35956,0.006153
Kalo,TH950603,Raman,TH9506,Yala,TH95,Thailand,TH,0.263496,0.003271
Kalong,TH740106,Mueang Samut Sakhon,TH7401,Samut Sakhon,TH74,Thailand,TH,0.230761,0.001561
Kalong,TH960705,Si Sakhon,TH9607,Narathiwat,TH96,Thailand,TH,0.357003,0.005742
Kalupang,TH950602,Raman,TH9506,Yala,TH95,Thailand,TH,0.114547,0.000721
Kaluwo,TH960105,Mueang Narathiwat,TH9601,Narathiwat,TH96,Thailand,TH,0.33251,0.005919
Kaluwo Nuea,TH960106,Mueang Narathiwat,TH9601,Narathiwat,TH96,Thailand,TH,0.347738,0.003365
Kam Pu,TH440802,Phayakkhaphum Phisai,TH4408,Maha Sarakham,TH44,Thailand,TH,0.328046,0.004215
Kamala,TH830203,Kathu,TH8302,Phuket,TH83,Thailand,TH,0.219548,0.001659
Kamalasai,TH460301,Kamalasai,TH4603,Kalasin,TH46,Thailand,TH,0.36266,0.003228
Kamang,TH140102,Phra Nakhon Si Ayutthaya,TH1401,Phra Nakhon Si Ayutthaya,TH14,Thailand,TH,0.059236,0.000104
Kami Yo,TH940107,Mueang Pattani,TH9401,Pattani,TH94,Thailand,TH,0.082632,0.000346
Kamlon,TH800304,Lan Saka,TH8003,Nakhon Si Thammarat,TH80,Thailand,TH,0.46288,0.008082
Kammaet,TH350303,Kut Chum,TH3503,Yasothon,TH35,Thailand,TH,0.424347,0.005778
Kamnoet Nopphakhun,TH770401,Bang Saphan,TH7704,Prachuap Khiri Khan,TH77,Thailand,TH,0.418628,0.004259
Kampang,TH300903,Non Thai,TH3009,Nakhon Ratchasima,TH30,Thailand,TH,0.286035,0.004379
Kamphaeng,TH331001,Uthumphon Phisai,TH3310,Si Sa Ket,TH33,Thailand,TH,0.170533,0.001171
Kamphaeng,TH450208,Kaset Wisai,TH4502,Roi Et,TH45,Thailand,TH,0.411904,0.005796
Kamphaeng,TH910501,La-Ngu,TH9105,Satun,TH91,Thailand,TH,0.558153,0.007342
Kamphaeng Din,TH660702,Sam Ngam,TH6607,Phichit,TH66,Thailand,TH,0.389267,0.004188
Kamphaeng Phet,TH900901,Rattaphum,TH9009,Songkhla,TH90,Thailand,TH,0.602416,0.009234
Kamphaeng Saen,TH730212,Kamphaeng Saen,TH7302,Nakhon Pathom,TH73,Thailand,TH,0.248751,0.002036
Kamphaeng Sao,TH800112,Mueang Nakhon Si Thammarat,TH8001,Nakhon Si Thammarat,TH80,Thailand,TH,0.265114,0.002133
Kamphi,TH440606,Borabue,TH4406,Maha Sarakham,TH44,Thailand,TH,0.304503,0.003793
Kamphuan,TH850502,Suk Samran,TH8505,Ranong,TH85,Thailand,TH,0.977074,0.007947
Kan Chu,TH670804,Bueng Sam Phan,TH6708,Phetchabun,TH67,Thailand,TH,0.67951,0.010576
Kan Lueang,TH310415,Nang Rong,TH3104,Buri Ram,TH31,Thailand,TH,0.359088,0.004636
Kan Lueang,TH331003,Uthumphon Phisai,TH3310,Si Sa Ket,TH33,Thailand,TH,0.269248,0.002665
Kan Lueang,TH401402,Waeng Noi,TH4014,Khon Kaen,TH40,Thailand,TH,0.353267,0.005231
Kan Lueang,TH480707,Na Kae,TH4807,Nakhon Phanom,TH48,Thailand,TH,0.587648,0.005328
Kan Throm,TH330809,Khun Han,TH3308,Si Sa Ket,TH33,Thailand,TH,0.732916,0.013619
Kanchana,TH540120,Mueang Phrae,TH5401,Phrae,TH54,Thailand,TH,0.146278,0.000819
Kang Aen,TH320501,Prasat,TH3205,Surin,TH32,Thailand,TH,0.317282,0.00418
Kantang,TH920201,Kantang,TH9202,Trang,TH92,Thailand,TH,0.085626,0.000421
Kantang Tai,TH920206,Kantang,TH9202,Trang,TH92,Thailand,TH,0.360156,0.004524
Kanthararom,TH310310,Krasang,TH3103,Buri Ram,TH31,Thailand,TH,0.305223,0.004397
Kanthararom,TH330501,Khukhan,TH3305,Si Sa Ket,TH33,Thailand,TH,0.293758,0.003326
Kantuat Ramuan,TH320516,Prasat,TH3205,Surin,TH32,Thailand,TH,0.299496,0.003463
Kao Kham,TH340911,Nam Yuen,TH3409,Ubon Ratchathani,TH34,Thailand,TH,0.379424,0.004818
Kao Kloi,TH390207,Na Klang,TH3902,Nong Bua Lam Phu,TH39,Thailand,TH,0.64909,0.007445
Kao Liao,TH600602,Kao Liao,TH6006,Nakhon Sawan,TH60,Thailand,TH,0.179086,0.001103
Kao Ngio,TH401204,Phon,TH4012,Khon Kaen,TH40,Thailand,TH,0.230123,0.001856
Kao Ya Di,TH361208,Kaeng Khro,TH3612,Chaiyaphum,TH36,Thailand,TH,0.298145,0.003274
Kap Choeng,TH320601,Kap Choeng,TH3206,Surin,TH32,Thailand,TH,0.532779,0.009718
Kapang,TH800908,Thung Song,TH8009,Nakhon Si Thammarat,TH80,Thailand,TH,0.582489,0.006905
Kapao,TH840806,Khiri Rat Nikhom,TH8408,Surat Thani,TH84,Thailand,TH,0.437137,0.006735
Kapiat,TH800406,Chawang,TH8004,Nakhon Si Thammarat,TH80,Thailand,TH,0.304378,0.003602
Kapoe,TH850302,Kapoe,TH8503,Ranong,TH85,Thailand,TH,0.597156,0.008107
Kapong,TH820301,Kapong,TH8203,Phangnga,TH82,Thailand,TH,0.480972,0.00664
Karaket,TH800611,Chian Yai,TH8006,Nakhon Si Thammarat,TH80,Thailand,TH,0.489965,0.005721
Karo,TH802103,Nopphitam,TH8021,Nakhon Si Thammarat,TH80,Thailand,TH,0.369653,0.004384
Karon,TH830108,Mueang Phuket,TH8301,Phuket,TH83,Thailand,TH,0.322068,0.001881
Karubi,TH941101,Kapho,TH9411,Pattani,TH94,Thailand,TH,0.225202,0.002259
Kasem,TH341103,Trakan Phuet Phon,TH3411,Ubon Ratchathani,TH34,Thailand,TH,0.380806,0.003733
Kasem Sap,TH301419,Pak Thong Chai,TH3014,Nakhon Ratchasima,TH30,Thailand,TH,0.174499,0.00077
Kaset Phatthana,TH740312,Ban Phaeo,TH7403,Samut Sakhon,TH74,Thailand,TH,0.226025,0.001353
Kaset Suwan,TH201005,Bo Thong,TH2010,Chon Buri,TH20,Thailand,TH,0.5926,0.011921
Kaset Wisai,TH450201,Kaset Wisai,TH4502,Roi Et,TH45,Thailand,TH,0.43931,0.007557
Kathu,TH830201,Kathu,TH8302,Phuket,TH83,Thailand,TH,0.254449,0.002867
Kathum,TH141502,Maha Rat,TH1415,Phra Nakhon Si Ayutthaya,TH14,Thailand,TH,0.160394,0.000904
Kathun,TH800502,Phipun,TH8005,Nakhon Si Thammarat,TH80,Thailand,TH,0.580463,0.009884
Katong,TH950508,Yaha,TH9505,Yala,TH95,Thailand,TH,0.276194,0.002702
Kawa,TH961106,Su-Ngai Padi,TH9611,Narathiwat,TH96,Thailand,TH,0.203911,0.001854
Kayo Mati,TH960303,Bacho,TH9603,Narathiwat,TH96,Thailand,TH,0.275312,0.002273
Kayu Boko,TH950601,Raman,TH9506,Yala,TH95,Thailand,TH,0.257242,0.002394
Kayu Khla,TH960802,Waeng,TH9608,Narathiwat,TH96,Thailand,TH,0.326843,0.00372
Ke Ro,TH950606,Raman,TH9506,Yala,TH95,Thailand,TH,0.497154,0.005713
Ketri,TH910112,Mueang Satun,TH9101,Satun,TH91,Thailand,TH,0.343097,0.002818
Kha Mang,TH600311,Chum Saeng,TH6003,Nakhon Sawan,TH60,Thailand,TH,0.268053,0.002444
Kha Mang,TH660111,Mueang Phichit,TH6601,Phichit,TH66,Thailand,TH,0.232126,0.002549
Khae,TH331015,Uthumphon Phisai,TH3310,Si Sa Ket,TH33,Thailand,TH,0.292897,0.002142
Khae,TH900312,Chana,TH9003,Songkhla,TH90,Thailand,TH,0.431276,0.005146
Khae Ok,TH140407,Bang Sai,TH1404,Phra Nakhon Si Ayutthaya,TH14,Thailand,TH,0.095531,0.000443
Khae Rai,TH740209,Krathum Baen,TH7402,Samut Sakhon,TH74,Thailand,TH,0.147876,0.000834
Khae Tok,TH140408,Bang Sai,TH1404,Phra Nakhon Si Ayutthaya,TH14,Thailand,TH,0.141905,0.000775
Khaem,TH331006,Uthumphon Phisai,TH3310,Si Sa Ket,TH33,Thailand,TH,0.224905,0.001984
Khaem Son,TH671102,Khao Kho,TH6711,Phetchabun,TH67,Thailand,TH,0.770762,0.010258
Khaen,TH320805,Sanom,TH3208,Surin,TH32,Thailand,TH,0.245424,0.002936
Khaen,TH440907,Wapi Pathum,TH4409,Maha Sarakham,TH44,Thailand,TH,0.507453,0.006344
Khaen Dong,TH312201,Khaen Dong,TH3122,Buri Ram,TH31,Thailand,TH,0.537126,0.006967
Khaen Noi,TH350412,Kham Khuean Kaeo,TH3504,Yasothon,TH35,Thailand,TH,0.217181,0.00244
Khaen Nuea,TH401010,Ban Phai,TH4010,Khon Kaen,TH40,Thailand,TH,0.336563,0.003123
Khaen Yai,TH450123,Mueang Roi Et,TH4501,Roi Et,TH45,Thailand,TH,0.211941,0.002514
Khai Bok Wan,TH430110,Mueang Nong Khai,TH4301,Nong Khai,TH43,Thailand,TH,0.446529,0.006238
Khai Nun,TH461402,Huai Phueng,TH4614,Kalasin,TH46,Thailand,TH,0.362601,0.003833
Khai Si,TH380108,Mueang Bueng Kan,TH3801,Bueng Kan,TH38,Thailand,TH,0.397456,0.004233
Khalamae,TH320907,Sikhoraphum,TH3209,Surin,TH32,Thailand,TH,0.298075,0.003184
Kham A Huan,TH490110,Mueang Mukdahan,TH4901,Mukdahan,TH49,Thailand,TH,0.542984,0.011607
Kham Bo,TH470604,Waritchaphum,TH4706,Sakon Nakhon,TH47,Thailand,TH,0.514708,0.009469
Kham Bok,TH490512,Khamcha-I,TH4905,Mukdahan,TH49,Thailand,TH,0.294941,0.004012
Kham Bong,TH411704,Ban Phue,TH4117,Udon Thani,TH41,Thailand,TH,0.627192,0.008533
Kham Bong,TH461401,Huai Phueng,TH4614,Kalasin,TH46,Thailand,TH,0.779808,0.012793
Kham Charoen,TH341123,Trakan Phuet Phon,TH3411,Ubon Ratchathani,TH34,Thailand,TH,0.349429,0.002526
Kham Duang,TH411710,Ban Phue,TH4117,Udon Thani,TH41,Thailand,TH,0.787794,0.016255
Kham Hai,TH450613,Phanom Phrai,TH4506,Roi Et,TH45,Thailand,TH,0.37035,0.002657
Kham Hai Yai,TH342404,Don Mot Daeng,TH3424,Ubon Ratchathani,TH34,Thailand,TH,0.278263,0.002912
Kham Kaeo,TH380304,So Phisai,TH3803,Bueng Kan,TH38,Thailand,TH,0.758615,0.008348
Kham Khaen,TH401705,Mancha Khiri,TH4017,Khon Kaen,TH40,Thailand,TH,0.489336,0.010148
Kham Khok Sung,TH411005,Wang Sam Mo,TH4110,Udon Thani,TH41,Thailand,TH,0.443397,0.005769
Kham Khrang,TH340716,Det Udom,TH3407,Ubon Ratchathani,TH34,Thailand,TH,0.45749,0.006455
Kham Khuean Kaeo,TH342506,Sirindhorn,TH3425,Ubon Ratchathani,TH34,Thailand,TH,0.731767,0.011454
Kham Khuean Kaeo,TH370203,Chanuman,TH3702,Amnat Charoen,TH37,Thailand,TH,0.780104,0.015689
Kham Khwang,TH341515,Warin Chamrap,TH3415,Ubon Ratchathani,TH34,Thailand,TH,0.341937,0.002795
Kham Lai,TH340208,Si Mueang Mai,TH3402,Ubon Ratchathani,TH34,Thailand,TH,0.692644,0.009785
Kham Lo,TH410803,Chai Wan,TH4108,Udon Thani,TH41,Thailand,TH,0.72803,0.010139
Kham Maet,TH402102,Sam Sung,TH4021,Khon Kaen,TH40,Thailand,TH,0.215777,0.001855
Kham Muang,TH401905,Khao Suan Kwang,TH4019,Khon Kaen,TH40,Thailand,TH,0.402598,0.006473
Kham Mueat Kaeo,TH460807,Huai Mek,TH4608,Kalasin,TH46,Thailand,TH,0.281087,0.003629
Kham Na Di,TH380111,Mueang Bueng Kan,TH3801,Bueng Kan,TH38,Thailand,TH,0.609808,0.005957
Kham Na Di,TH450710,Phon Thong,TH4507,Roi Et,TH45,Thailand,TH,0.52025,0.00654
Kham Nam Saep,TH341510,Warin Chamrap,TH3415,Ubon Ratchathani,TH34,Thailand,TH,0.172467,0.000881
Kham Nam Sang,TH350308,Kut Chum,TH3503,Yasothon,TH35,Thailand,TH,0.340258,0.004008
Kham Niam,TH330320,Kanthararom,TH3303,Si Sa Ket,TH33,Thailand,TH,0.225259,0.001766
Kham Pa Lai,TH490109,Mueang Mukdahan,TH4901,Mukdahan,TH49,Thailand,TH,0.791943,0.015068
